CAR NAME,LOCATION,PRICE IN NAIRA,USE HISTORY,MILAGE,TRANSMISSION
Hyundai Sonata 2011 Blue,"Lagos State, Kosofe","13,500,000",Foreign Used,169131 km,Automatic
Lexus RX 350 2021 Black,"Lagos State, Lekki","64,125,000",Foreign Used,39248 km,Automatic
Toyota Corolla 2003 Burgandy,"Lagos State, Ogba","4,837,500",Local Used,119517 km,Automatic
Toyota Camry 2009 Silver,"Lagos State, Abule Egba","9,000,000",Local Used,185620 km,Automatic
Volvo XC90 2007 Green,"Lagos State, Abule Egba","5,400,000",Local Used,316772 km,Automatic
Toyota Venza 2009 Gold,"Abuja (FCT), Wuse","13,500,000",Local Used,168771 km,Automatic
Toyota Camry 2009 Silver,"Rivers State, Port-Harcourt","12,375,000",Local Used,246642 km,Automatic
Ford Escape 2009 Gray,"Lagos State, Ojodu","4,320,000",Local Used,328891 km,Automatic
Kia Optima 2013 Gray,"Lagos State, Isolo","19,125,000",Foreign Used,80089 km,Automatic
Kia Sportage 2012 Black,"Lagos State, Ikorodu","6,750,000",Local Used,220074 km,Automatic
Toyota Camry 2007 Blue,"Lagos State, Ikeja","5,355,000",Local Used,266542 km,Automatic
Toyota RAV4 2010 Blue,"Abuja (FCT), Jabi","9,562,500",Local Used,153222 km,Automatic
Hyundai Santa Fe 2015 Black,"Abuja (FCT), Karu","18,000,000",Local Used,115992 km,Automatic
Toyota Highlander 2006 White,"Lagos State, Ikeja","9,562,500",Local Used,124733 km,Automatic
Toyota Corolla 2010 Black,"Abuja (FCT), Lugbe District","11,812,500",Foreign Used,433662 km,Automatic
Lexus RX 350 2015 Gray,"Abuja (FCT), Lugbe District","39,375,000",Foreign Used,129228 km,Automatic
Hyundai Sonata 2015 Red,"Lagos State, Ojodu","18,000,000",Local Used,170504 km,Automatic
Honda Odyssey 2.4 2WD 2007 Blue,"Lagos State, Ikorodu","3,375,000",Local Used,301422 km,Automatic
Mazda MPV 2002 Gold,"Lagos State, Alimosho","3,712,500",Local Used,348135 km,Automatic
Toyota 4-Runner 2003 Blue,"Lagos State, Ikorodu","4,950,000",Local Used,152341 km,Automatic
Toyota Camry 2008 Gray,"Edo State, Benin City","7,312,500",Local Used,214417 km,Automatic
Honda Pilot 2007 Black,"Oyo State, Ibadan","4,162,500",Local Used,173279 km,Automatic
Toyota Camry 2002 Gray,"Lagos State, Ogudu","5,062,500",Local Used,393053 km,Automatic
Ford Explorer 2016 Silver,"Delta State, Oshimili South","14,175,000",Local Used,59921 km,Automatic
Honda Civic 2001 Silver,"Abuja (FCT), Kubwa","2,587,500",Local Used,255565 km,Automatic
Lexus ES 1999 Gold,"Rivers State, Port-Harcourt","2,475,000",Local Used,Automatic,Automatic
Mercedes-Benz R-Class 2008 Blue,"Lagos State, Amuwo-Odofin","7,312,500",Local Used,272839 km,Automatic
Nissan Pathfinder LE 4x4 2006 Gray,"Abuja (FCT), Lugbe District","3,780,000",Local Used,206217 km,Automatic
Hyundai Accent 2010 Silver,"Rivers State, Port-Harcourt","3,375,000",Local Used,Manual,Manual
Toyota Corolla CE 2007 Gray,"Lagos State, Amuwo-Odofin","7,875,000",Local Used,329903 km,Automatic
Mercedes-Benz M Class 2012 Gray,"Lagos State, Yaba","22,500,000",Local Used,247749 km,Automatic
Ford Explorer 2016 Black,"Lagos State, Yaba","16,875,000",Local Used,132492 km,Automatic
Toyota Camry 2008 Blue,"Enugu State, Enugu","9,000,000",Local Used,267112 km,Automatic
Chevrolet Uplander Cargo Van FWD 2007 Burgandy,"Lagos State, Amuwo-Odofin","5,625,000",Local Used,283716 km,Automatic
Kia Sportage 2017 White,"Lagos State, Lekki","22,500,000",Local Used,43660 km,Automatic
Nissan Qashqai 2015 Brown,"Rivers State, Port-Harcourt","15,187,500",Local Used,63432 km,Automatic
Toyota Highlander 2015 Black,"Oyo State, Ibadan","33,750,000",Foreign Used,254996 km,Automatic
Toyota Camry 2006 Gold,"Ogun State, Abeokuta North","10,125,000",Foreign Used,207397 km,Automatic
Toyota Highlander 2008 Black,"Ogun State, Abeokuta North","12,375,000",Local Used,113556 km,Automatic
Acura MDX 2009 Gray,"Oyo State, Ibadan","7,875,000",Local Used,104537 km,Automatic
Honda Pilot 2011 Red,"Lagos State, Alimosho","9,000,000",Local Used,104465 km,Automatic
Opel Signum 2005 Red,"Lagos State, Alimosho","4,500,000",Local Used,136822 km,Automatic
Toyota 4-Runner 2003 Black,"Lagos State, Alimosho","7,312,500",Local Used,204134 km,Automatic
Toyota RAV4 2012 Silver,"Lagos State, Ilupeju","22,500,000",Foreign Used,85444 km,Automatic
Lexus RX 350 2019 Gray,"Lagos State, Ajah","50,625,000",Local Used,24651 km,Automatic
Toyota Camry 2.4 LE 2008 Black,"Rivers State, Port-Harcourt","6,187,500",Local Used,57406 km,Automatic
Nissan Quest 2015 Green,"Lagos State, Surulere","11,250,000",Local Used,355321 km,Automatic
Lexus IS 2008 Black,"Lagos State, Lekki","7,650,000",Local Used,92244 km,Automatic
Mercedes-Benz E350 2012 White,"Abuja (FCT), Central Business District","28,125,000",Local Used,57699 km,Automatic
Toyota Highlander V6 2005 Gold,"Kaduna State, Kaduna / Kaduna State","6,525,000",Local Used,99999 km,Automatic
Toyota Avensis 2004 Red,"Lagos State, Lekki","4,500,000",Local Used,338724 km,Automatic
Toyota Camry 2009 Green,"Oyo State, Ibadan","6,975,000",Local Used,162197 km,Automatic
Honda Accord 1996 Red,"Oyo State, Ibadan","1,350,000",Local Used,156138 km,Manual
Nissan Almera 2004 Blue,"Oyo State, Ibadan","3,375,000",Local Used,267118 km,Manual
Toyota RAV4 LE FWD (2.5L 4cyl 6A) 2017 Gray,"Lagos State, Lekki","24,300,000",Foreign Used,325276 km,Automatic
Land Rover Range Rover Evoque 2018 White,"Lagos State, Kosofe","33,750,000",Local Used,126854 km,Automatic
Lexus RX 300 2001 Gray,"Abuja (FCT), Kubwa","3,661,875",Local Used,211688 km,Automatic
Toyota Sienna 2007 Blue,"Lagos State, Ikeja","10,462,500",Foreign Used,238088 km,Automatic
Mercedes-Benz GLK-Class 2012 Gray,"Lagos State, Ojodu","16,875,000",Local Used,69112 km,Automatic
Honda CR-V Automatic 2005 Black,"Akwa Ibom State, Uyo","3,600,000",Local Used,213738 km,Automatic
Toyota Corolla 2005 Red,"Oyo State, Ibadan","5,062,500",Local Used,462572 km,Automatic
Volkswagen Golf 1999 Black,"Lagos State, Ikotun/Igando","3,375,000",Local Used,305884 km,Automatic
Hyundai Accent 2012 Gold,"Abuja (FCT), Garki 2","6,187,500",Local Used,203750 km,Automatic
Toyota Fortuner 2.7 AWD 2014 White,"Rivers State, Port-Harcourt","15,412,500",Local Used,214791 km,Automatic
Toyota Camry 2008 Gray,"Abuja (FCT), Kubwa","7,650,000",Local Used,244948 km,Automatic
Mazda CX-9 2008 Black,"Lagos State, Ikorodu","6,187,500",Local Used,163443 km,Automatic
Acura MDX 2008 Green,"Enugu State, Enugu","5,625,000",Local Used,350015 km,Automatic
Ford Escape 2014 Black,"Lagos State, Lekki","8,100,000",Local Used,89621 km,Automatic
Mitsubishi Lancer 2008 Black,"Lagos State, Yaba","3,375,000",Local Used,177573 km,Automatic
Nissan Primera 2005 Silver,"Ogun State, Abeokuta North","1,687,500",Local Used,184658 km,Automatic
Toyota Camry 2013 Silver,"Abuja (FCT), Lugbe District","12,375,000",Local Used,227476 km,Automatic
Toyota Matrix 2006 Green,"Rivers State, Port-Harcourt","5,625,000",Local Used,139261 km,Automatic
Kia Forte 2010 Silver,"Abuja (FCT), Gudu","2,812,500",Local Used,265180 km,Automatic
Toyota Corolla 2005 Gray,"Lagos State, Ogudu","4,612,500",Local Used,197708 km,Automatic
Toyota Venza V6 2010 Silver,"Lagos State, Lekki","17,690,625",Foreign Used,217038 km,Automatic
Ford Edge 2011 Black,"Abuja (FCT), Jabi","6,300,000",Local Used,128359 km,Automatic
Toyota Sienna LE 2002 Silver,"Kaduna State, Kaduna / Kaduna State","3,150,000",Local Used,281861 km,Automatic
Toyota Camry 2009 Gray,"Lagos State, Ojodu","8,437,500",Local Used,284870 km,Automatic
Volkswagen Passat 2008 Black,"Abuja (FCT), Garki 2","5,062,500",Local Used,235252 km,Automatic
Toyota RAV4 2007 Black,"Lagos State, Lekki","9,000,000",Local Used,255085 km,Automatic
Toyota Corolla 2006 Blue,"Lagos State, Ajah","6,187,500",Local Used,313225 km,Automatic
Toyota Camry 2013 Red,"Lagos State, Ilupeju","15,750,000",Foreign Used,334192 km,Automatic
Mercedes-Benz GLK-Class 2012 Black,"Abuja (FCT), Gwarinpa","17,437,500",Local Used,262114 km,Automatic
Toyota Camry 2004 Blue,"Lagos State, Ajah","4,725,000",Local Used,559878 km,Automatic
Mercedes-Benz M Class 2006 White,"Ogun State, Abeokuta North","9,000,000",Local Used,340095 km,Automatic
Mercedes-Benz C180 1999 Silver,"Abuja (FCT), Asokoro","5,625,000",Foreign Used,308073 km,Automatic
Toyota Highlander 2008 Black,"Delta State, Oshimili South","14,625,000",Local Used,191664 km,Automatic
Toyota Highlander 2008 Black,"Lagos State, Lekki","10,125,000",Local Used,169994 km,Automatic
Land Rover Range Rover Velar 2018 Black,"Edo State, Benin City","65,250,000",Local Used,55359 km,Automatic
Hyundai Elantra 2010 Gray,"Lagos State, Ikoyi","4,500,000",Local Used,247238 km,Automatic
Toyota Camry 2012 Black,"Abuja (FCT), Gwarinpa","13,950,000",Local Used,371325 km,Automatic
Toyota Matrix 2005 Silver,"Abuja (FCT), Gwarinpa","5,625,000",Local Used,224510 km,Automatic
Seat Ibiza 1999 Green,"Ogun State, Abeokuta North","3,150,000",Local Used,12071 km,Manual
