LOCATION,CAR NAME,PRICE IN NAIRA,USE HISTORY,MILAGE,TRANSMISSION
"Lagos State, Kosofe",Hyundai Sonata 2011 Blue,"13,500,000",Foreign Used,169131 km,Automatic
"Lagos State, Lekki",Lexus RX 350 2021 Black,"64,125,000",Foreign Used,39248 km,Automatic
"Lagos State, Ogba",Toyota Corolla 2003 Burgandy,"4,837,500",Local Used,119517 km,Automatic
"Lagos State, Abule Egba",Toyota Camry 2009 Silver,"9,000,000",Local Used,185620 km,Automatic
"Lagos State, Abule Egba",Volvo XC90 2007 Green,"5,400,000",Local Used,316772 km,Automatic
"Abuja (FCT), Wuse",Toyota Venza 2009 Gold,"13,500,000",Local Used,168771 km,Automatic
"Rivers State, Port-Harcourt",Toyota Camry 2009 Silver,"12,375,000",Local Used,246642 km,Automatic
"Lagos State, Ojodu",Ford Escape 2009 Gray,"4,320,000",Local Used,328891 km,Automatic
"Lagos State, Isolo",Kia Optima 2013 Gray,"19,125,000",Foreign Used,80089 km,Automatic
"Lagos State, Ikorodu",Kia Sportage 2012 Black,"6,750,000",Local Used,220074 km,Automatic
"Lagos State, Ikeja",Toyota Camry 2007 Blue,"5,355,000",Local Used,266542 km,Automatic
"Abuja (FCT), Jabi",Toyota RAV4 2010 Blue,"9,562,500",Local Used,153222 km,Automatic
"Abuja (FCT), Karu",Hyundai Santa Fe 2015 Black,"18,000,000",Local Used,115992 km,Automatic
"Lagos State, Ikeja",Toyota Highlander 2006 White,"9,562,500",Local Used,124733 km,Automatic
"Abuja (FCT), Lugbe District",Toyota Corolla 2010 Black,"11,812,500",Foreign Used,433662 km,Automatic
"Abuja (FCT), Lugbe District",Lexus RX 350 2015 Gray,"39,375,000",Foreign Used,129228 km,Automatic
"Lagos State, Ojodu",Hyundai Sonata 2015 Red,"18,000,000",Local Used,170504 km,Automatic
"Lagos State, Ikorodu",Honda Odyssey 2.4 2WD 2007 Blue,"3,375,000",Local Used,301422 km,Automatic
"Lagos State, Alimosho",Mazda MPV 2002 Gold,"3,712,500",Local Used,348135 km,Automatic
"Lagos State, Ikorodu",Toyota 4-Runner 2003 Blue,"4,950,000",Local Used,152341 km,Automatic
"Edo State, Benin City",Toyota Camry 2008 Gray,"7,312,500",Local Used,214417 km,Automatic
"Oyo State, Ibadan",Honda Pilot 2007 Black,"4,162,500",Local Used,173279 km,Automatic
"Lagos State, Ogudu",Toyota Camry 2002 Gray,"5,062,500",Local Used,393053 km,Automatic
"Delta State, Oshimili South",Ford Explorer 2016 Silver,"14,175,000",Local Used,59921 km,Automatic
"Abuja (FCT), Kubwa",Honda Civic 2001 Silver,"2,587,500",Local Used,255565 km,Automatic
"Rivers State, Port-Harcourt",Lexus ES 1999 Gold,"2,475,000",Local Used,Automatic,Automatic
"Lagos State, Amuwo-Odofin",Mercedes-Benz R-Class 2008 Blue,"7,312,500",Local Used,272839 km,Automatic
"Abuja (FCT), Lugbe District",Nissan Pathfinder LE 4x4 2006 Gray,"3,780,000",Local Used,206217 km,Automatic
"Rivers State, Port-Harcourt",Hyundai Accent 2010 Silver,"3,375,000",Local Used,Manual,Manual
"Lagos State, Amuwo-Odofin",Toyota Corolla CE 2007 Gray,"7,875,000",Local Used,329903 km,Automatic
"Lagos State, Yaba",Mercedes-Benz M Class 2012 Gray,"22,500,000",Local Used,247749 km,Automatic
"Lagos State, Yaba",Ford Explorer 2016 Black,"16,875,000",Local Used,132492 km,Automatic
"Enugu State, Enugu",Toyota Camry 2008 Blue,"9,000,000",Local Used,267112 km,Automatic
"Lagos State, Amuwo-Odofin",Chevrolet Uplander Cargo Van FWD 2007 Burgandy,"5,625,000",Local Used,283716 km,Automatic
"Lagos State, Lekki",Kia Sportage 2017 White,"22,500,000",Local Used,43660 km,Automatic
"Rivers State, Port-Harcourt",Nissan Qashqai 2015 Brown,"15,187,500",Local Used,63432 km,Automatic
"Oyo State, Ibadan",Toyota Highlander 2015 Black,"33,750,000",Foreign Used,254996 km,Automatic
"Ogun State, Abeokuta North",Toyota Camry 2006 Gold,"10,125,000",Foreign Used,207397 km,Automatic
"Ogun State, Abeokuta North",Toyota Highlander 2008 Black,"12,375,000",Local Used,113556 km,Automatic
"Oyo State, Ibadan",Acura MDX 2009 Gray,"7,875,000",Local Used,104537 km,Automatic
"Lagos State, Alimosho",Honda Pilot 2011 Red,"9,000,000",Local Used,104465 km,Automatic
